symbol,smiles,cxsmiles,monomer_type
X657,N[C@H](C=O)CCc1nnn[nH]1,[*]N[C@@H](CCc1nnn[nH]1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone
X539,N[C@H](C=O)Cc1ccc(S(N)(=O)=O)cc1,NS(=O)(=O)c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,Backbone
X485,CCOC(=O)[C@@H](N)CCCc1ccccc1,CCOC(=O)[C@H](CCCc1ccccc1)N[*] |$;;;;;;;;;;;;;;;;_R1$|,Backbone
X761,N[C@@H](C=O)C1Cc2ccccc2C1,[*]N[C@H](C1Cc2ccccc2C1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
X490,O=CC12CCC(CC1)N2,[*]N1C2CCC1(CC2)C([*])=O |$_R1;;;;;;;;;_R2;$|,Backbone
X764,O=C[C@H](Cc1ccccc1)NS(=O)(=O)O,OS(=O)(=O)N[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
L_Me,CC(=O)[C@@H](N)CC(C)C,CC(C)C[C@H](N[*])C(C)=O |$;;;;;;_R1;;;$|,Backbone
X612,N[C@H](C=O)Cc1ccc(CC(=O)O)c(O)c1,OC(=O)Cc1ccc(C[C@H](N[*])C([*])=O)cc1O |$;;;;;;;;;;;_R1;;_R2;;;;$|,Backbone
X446,N[C@H](C=O)CC[C@H]1C[C@@H]1N,N[C@H]1C[C@@H]1CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
X524,COc1cccc(C[C@H](N)C=O)c1,COc1cccc(C[C@H](N[*])C([*])=O)c1 |$;;;;;;;;;;_R1;;_R2;;$|,Backbone
X649,CC(C)[C@@H](C=O)NC(=O)OC1CCCC1,CC(C)[C@H](NC(=O)OC1CCCC1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
X2860,CCC[C@@H]1CCN[C@@H]1C=O,CCC[C@@H]1CCN([*])[C@@H]1C([*])=O |$;;;;;;;_R1;;;_R2;$|,Backbone
X3003,O=C[C@H]1C[C@@H](n2cc(CCc3ccccc3)nn2)CN1,[*]N1C[C@@H](C[C@@H]1C([*])=O)n1cc(CCc2ccccc2)nn1 |$_R1;;;;;;;_R2;;;;;;;;;;;;;;$|,Backbone
X3018,N[C@H](C=O)Cc1ccc(F)cc1F,Fc1ccc(C[C@H](N[*])C([*])=O)c(F)c1 |$;;;;;;;;_R1;;_R2;;;;$|,Backbone
