symbol,smiles,cxsmiles,monomer_type
X1909,CC(=O)CCCC[C@H](NH)C(H)=O,CC(=O)CCCC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
X2073,CC(C)NCC[C@H](NH)C(H)=O,CC(C)NCC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
X1964,Oc1ccc(cc1)[C@H]1CCN[C@@H]1C(H)=O,Oc1ccc(cc1)[C@H]1CCN[C@@H]1C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X2045,FC(F)(F)c1ccc(CN[C@H](CSH)C(H)=O)cc1,FC(F)(F)c1ccc(CN[C@H](CS[*])C([*])=O)cc1 |$;;;;;;;;;;;;;_R3;;_R2;;;$|,Backbone
X2029,FC(F)(F)c1ccc(NC(=O)N[C@H](CSH)C(H)=O)cc1,FC(F)(F)c1ccc(NC(=O)N[C@H](CS[*])C([*])=O)cc1 |$;;;;;;;;;;;;;;;_R3;;_R2;;;$|,Backbone
X2049,C[C@H](NCc1cccc2ccccc12)C(H)=O,C[C@H](NCc1cccc2ccccc12)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone
X2068,CC[C@@]1(OC(=O)N(CCO)CC(H)=O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O,CC[C@@]1(OC(=O)N(CCO)CC([*])=O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O |$;;;;;;;;;;;;_R2;;;;;;;;;;;;;;;;;;;;;;;$|,Backbone
X2034,HN[C@@H](Cc1cnccn1)C(H)=O,[*]N[C@@H](Cc1cnccn1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone
X1851,HN[C@@H](CCCCCC(=O)[CH-][N+]#N)C(H)=O,[*]N[C@@H](CCCCCC(=O)[CH-][N+]#N)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,Backbone
X1707,HN[C@H](CCC#N)C(H)=O,[*]N[C@H](CCC#N)C([*])=O |$_R1;;;;;;;;_R2;$|,Backbone
X1756,C[C@H](COc1ccccc1)[C@@H](O)[C@H](N(C)H)C(H)=O,C[C@H](COc1ccccc1)[C@@H](O)[C@H](N(C)[*])C([*])=O |$;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone
X1824,CN(H)[C@@H](CSCCCN1CCOCC1)C(H)=O,CN([*])[C@@H](CSCCCN1CCOCC1)C([*])=O |$;;_R1;;;;;;;;;;;;;;_R2;$|,Backbone
