symbol,smiles,cxsmiles,monomer_type,embedding_mean,embedding_std,embedding_norm,embedding_min,embedding_max
X511,HN1[C@H](CC[C@H]1c1ccccc1)C(H)=O,[*]N1[C@H](CC[C@H]1c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone,-0.0032843326,0.6241155,17.296236,-2.494911,10.026197
X687,CCCS[C@@H]1CCN(H)[C@@H]1C(H)=O,CCCS[C@@H]1CCN([*])[C@@H]1C([*])=O |$;;;;;;;;_R1;;;_R2;$|,Backbone,-0.0028612977,0.6166325,17.088806,-2.5745828,7.9007597
X1484,Cc1cc2nc(C[C@H](NH)C(H)=O)[nH]c2cc1C,Cc1cc2nc(C[C@H](N[*])C([*])=O)[nH]c2cc1C |$;;;;;;;;;_R1;;_R2;;;;;;$|,Backbone,-0.0027163469,0.5691554,15.773076,-2.074278,7.9242363
X1279,HN[C@@H](Cc1cn(nn1)-c1cccc2ccccc12)C(H)=O,[*]N[C@@H](Cc1cn(nn1)-c1cccc2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0030851234,0.6034289,16.72293,-3.3369873,9.56691
X1353,HN(CCOCc1ccccc1)CC(H)=O,[*]N(CCOCc1ccccc1)CC([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,Backbone,-0.00209424,0.6018774,16.679815,-2.9061303,7.9100227
X2226,HN[C@@H](Cn1c(=O)[nH]c2ccccc2c1=O)C(H)=O,[*]N[C@@H](Cn1c(=O)[nH]c2ccccc2c1=O)C([*])=O |$_R1;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0025324617,0.56826574,15.748398,-1.9722244,6.426673
Nal,HN[C@@H](Cc1ccc2ccccc2c1)C(H)=O,[*]N[C@@H](Cc1ccc2ccccc2c1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0033473074,0.60242736,16.695213,-2.9090312,9.1388
dY,Oc1ccc(C[C@@H](NH)C(H)=O)cc1,Oc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone,-0.0032978884,0.61801267,17.127113,-3.073887,9.742716
X12,NCCCC[C@H](N)CN[C@@H](CCCCN)C(H)=O,NCCCC[C@H](N)CN[C@@H](CCCCN)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.003048734,0.6596073,18.27977,-2.8036635,8.432906
3-Pal,HN[C@@H](Cc1cccnc1)C(H)=O,[*]N[C@@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone,-0.0029015243,0.6394984,17.722483,-2.8644361,9.76679
